"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.487457808E1,-3.874794006E1,3.359925842E1,-2.863514709E1
4.488457408E1,-3.874165344E1,3.361235428E1,-2.853163147E1
4.489457008E1,-3.861615372E1,3.352555466E1,-2.847303772E1
4.490456608E1,-3.867790222E1,3.348114777E1,-2.863272095E1
4.491456208E1,-3.871031189E1,3.349339676E1,-2.868972778E1
4.492455708E1,-3.874364853E1,3.355265427E1,-2.855169678E1
4.493455308E1,-3.881521606E1,3.345997620E1,-2.857261658E1
4.494454908E1,-3.862251663E1,3.347859573E1,-2.841213989E1
4.495454508E1,-3.875156403E1,3.352038574E1,-2.847444153E1
4.496454008E1,-3.880281067E1,3.358500671E1,-2.853117371E1
4.497453608E1,-3.863655090E1,3.351493454E1,-2.846025085E1
4.498453208E1,-3.876760864E1,3.372650909E1,-2.837565613E1
4.499452808E1,-3.864894104E1,3.379790115E1,-2.836489868E1
4.500452308E1,-3.868682098E1,3.372574234E1,-2.851042175E1
4.501451908E1,-3.873665619E1,3.390018463E1,-2.833563232E1
4.502451508E1,-3.874382401E1,3.385949326E1,-2.826786804E1
4.503451108E1,-3.881290817E1,3.393125534E1,-2.821400452E1
4.504450608E1,-3.870434189E1,3.382887268E1,-2.829197693E1
4.505450208E1,-3.870504379E1,3.372701263E1,-2.824877930E1
4.506449808E1,-3.872697830E1,3.387828827E1,-2.833270264E1
4.507449408E1,-3.866905594E1,3.385928726E1,-2.845909119E1
4.508448908E1,-3.864410019E1,3.378980255E1,-2.819364929E1
4.509448508E1,-3.871469498E1,3.389941406E1,-2.824520874E1
4.510448108E1,-3.874897766E1,3.374649048E1,-2.819070435E1
4.511447708E1,-3.880302429E1,3.398562622E1,-2.835606384E1
4.512447208E1,-3.865073395E1,3.384976196E1,-2.822866821E1
4.513446808E1,-3.861190033E1,3.394580841E1,-2.826393127E1
4.514446408E1,-3.860734177E1,3.398596191E1,-2.829008484E1
4.515446008E1,-3.864876938E1,3.393460846E1,-2.839447021E1
4.516445508E1,-3.872790146E1,3.403395844E1,-2.834481812E1
4.517445108E1,-3.864280319E1,3.397700119E1,-2.820405579E1
4.518444708E1,-3.857393646E1,3.403549957E1,-2.806610107E1
4.519444308E1,-3.867062378E1,3.389300537E1,-2.832128906E1
4.520443808E1,-3.870738983E1,3.391485596E1,-2.827328491E1
4.521443408E1,-3.871078110E1,3.382723236E1,-2.838763428E1
4.522443008E1,-3.870243454E1,3.390179062E1,-2.854945374E1
4.523442608E1,-3.876699448E1,3.399157333E1,-2.840441895E1
4.524442208E1,-3.869086838E1,3.389870071E1,-2.842971802E1
